aqu	AQU	Amphimedon queenslandica	Metazoa;Porifera;
cbr	CBR	Caenorhabditis briggsae	Metazoa;Bilateria;Ecdysozoa;Nematoda;
cel	CEL	Caenorhabditis elegans	Metazoa;Bilateria;Ecdysozoa;Nematoda;
sja	SJA	Schistosoma japonicum	Metazoa;Bilateria;Ecdysozoa;Platyhelminthes;
sma	SMA	Schistosoma mansoni	Metazoa;Bilateria;Ecdysozoa;Platyhelminthes;
sme	SME	Schmidtea mediterranea	Metazoa;Bilateria;Ecdysozoa;Platyhelminthes;
cap	CAP	Capitella sp. I	Metazoa;Bilateria;Lophotrochozoa;Annelida;
cla	CLA	Cerebratulus lacteus	Metazoa;Bilateria;Lophotrochozoa;Nemertea;
hru	HRU	Haliotis rufescens	Metazoa;Bilateria;Lophotrochozoa;Molusca;
lgi	LGI	Lottia gigantea	Metazoa;Bilateria;Lophotrochozoa;Molusca;
ddi	DDI	Dictyostelium discoideum	Mycetozoa;
cre	CRE	Chlamydomonas reinhardtii	Viridiplantae;Chlorophyta;
pta	PTA	Pinus taeda	Viridiplantae;Coniferophyta;
ppt	PPT	Physcomitrella patens	Viridiplantae;Embryophyta;
smo	SMO	Selaginella moellendorffii	Viridiplantae;Embryophyta;
ath	ATH	Arabidopsis thaliana	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bna	BNA	Brassica napus	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bol	BOL	Brassica oleracea	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
bra	BRA	Brassica rapa	Viridiplantae;Magnoliophyta;eudicotyledons;Brassicaceae;
cpa	CPA	Carica papaya	Viridiplantae;Magnoliophyta;eudicotyledons;Caricaceae;
gma	GMA	Glycine max	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
lja	LJA	Lotus japonicus	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
mtr	MTR	Medicago truncatula	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
vun	VUN	Vigna unguiculata	Viridiplantae;Magnoliophyta;eudicotyledons;Fabaceae;
ghb	GHB	Gossypium herbecium	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
ghr	GHR	Gossypium hirsutum	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
gra	GRA	Gossypium rammindii	Viridiplantae;Magnoliophyta;eudicotyledons;Malvaceae;
ptc	PTC	Populus trichocarpa	Viridiplantae;Magnoliophyta;eudicotyledons;Salicaceae;
sly	SLY	Solanum lycopersicum	Viridiplantae;Magnoliophyta;eudicotyledons;Solanaceae;
vvi	VVI	Vitis vinifera	Viridiplantae;Magnoliophyta;eudicotyledons;Vitaceae;
osa	OSA	Oryza sativa	Viridiplantae;Magnoliophyta;monocotyledons;
sbi	SBI	Sorghum bicolor	Viridiplantae;Magnoliophyta;monocotyledons;
sof	SOF	Saccharum officinarum	Viridiplantae;Magnoliophyta;monocotyledons;
tae	TAE	Triticum aestivum	Viridiplantae;Magnoliophyta;monocotyledons;
zma	ZMA	Zea mays	Viridiplantae;Magnoliophyta;monocotyledons;
bkv	VRL	BK polyomavirus	Viruses;
ebv	VRL	Epstein Barr virus	Viruses;
hcmv	VRL	Human cytomegalovirus	Viruses;
hiv1	VRL	Human immunodeficiency virus 1	Viruses;
hsv1	VRL	Herpes Simplex Virus 1	Viruses;
jcv	VRL	JC polyomavirus	Viruses;
kshv	VRL	Kaposi sarcoma-associated herpesvirus	Viruses;
mcmv	VRL	Mouse cytomegalovirus	Viruses;
mcv	VRL	Merkel cell polyomavirus	Viruses;
mdv1	VRL	Mareks disease virus	Viruses;
mdv2	VRL	Mareks disease virus type 2	Viruses;
mghv	VRL	Mouse gammaherpesvirus 68	Viruses;
rlcv	VRL	Rhesus lymphocryptovirus	Viruses;
rrv	VRL	Rhesus monkey rhadinovirus	Viruses;
sv40	VRL	Simian virus 40	Viruses;
hsv2	VRL	Herpes Simplex Virus 2	Viruses;
