
Viridiplantae-Magnoliophyta-eudicotyledons-Salicaceae-Populus_euphratica,4
Viruses-Mouse_gammaherpesvirus_68,15
Viruses-Bovine_leukemia_virus,5
Viridiplantae-Magnoliophyta-monocotyledons-Brachypodium_distachyon,135
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Mandibulata-Strigamia_maritima,3
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Hominidae-Pan_troglodytes,39
Viridiplantae-Embryophyta-Selaginella_moellendorffii,37
Mycetozoa-Dictyostelium_discoideum,16
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_simulans,49
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Laurasiatheria-Artibeus_jamaicensis,1
Metazoa-Bilateria-Lophotrochozoa-Platyhelminthes-Schmidtea_mediterranea,133
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Drosophila_sechellia,2
Metazoa-Bilateria-Ecdysozoa-Nematoda-Haemonchus_contortus,137
Chromalveolata-Heterokontophyta-Ectocarpus_siliculosus,22
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Hominidae-Homo_sapiens,1265
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Laurasiatheria-Equus_caballus,36
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Rodentia-Mus_musculus,795
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Chelicerata-Tetranychus_urticae,45
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Metatheria-Macropus_eugenii,3
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Hexapoda-Locusta_migratoria,1
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Aves-Gallus_gallus,531
Viridiplantae-Magnoliophyta-eudicotyledons-Euphorbiaceae-Manihot_esculenta,83
Viridiplantae-Magnoliophyta-eudicotyledons-Solanaceae-Nicotiana_tabacum,75
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Hominidae-Gorilla_gorilla,85
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Rodentia-Cricetulus_griseus,23
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-LepidosauriaAnolis_carolinensis,217
Viridiplantae-Magnoliophyta-eudicotyledons-Rutaceae-Citrus_trifoliata,1
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Mammalia-Primates-Cercopithecidae-Macaca_mulatta,106
Viridiplantae-Magnoliophyta-eudicotyledons-Fabaceae-Vigna_unguiculata,11
Viridiplantae-Magnoliophyta-eudicotyledons-Brassicaceae-Arabidopsis_thaliana,122
Metazoa-Bilateria-Lophotrochozoa-Annelida-Capitella_teleta,120
Viridiplantae-Magnoliophyta-eudicotyledons-Brassicaceae-Brassica_oleracea,1
Metazoa-Bilateria-Ecdysozoa-Arthropoda-Chelicerata-Ixodes_scapularis,45
Viridiplantae-Magnoliophyta-eudicotyledons-Rhizophoraceae-Bruguiera_gymnorhiza,2
Viridiplantae-Coniferophyta-Pinus_densata,16
Viruses-Herpes_B_virus,12
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Pisces-Danio_rerio,188
Viridiplantae-Magnoliophyta-eudicotyledons-Euphorbiaceae-Hevea_brasiliensis,18
Metazoa-Bilateria-Ecdysozoa-Nematoda-Pristionchus_pacificus,94
Viridiplantae-Magnoliophyta-eudicotyledons-Rosaceae-Prunus_persica,108
Metazoa-Bilateria-Deuterostoma-Chordata-Vertebrata-Aves-Taeniopygia_guttata,79
